Longitude,Latitude,UHI Index,Region,nearest_building_distance,building_density,avg_building_age,avg_building_elevation,avg_building_height,avg_height_above_ground,nearest_building_height,nearest_building_height_above_ground,nearest_building_elevation,Datetime,Air Temp at Surface,Relative Humidity,Avg Wind Speed,Wind Direction,Solar Flux,traffic_volume,avg_traffic_volume,cloud_fraction,LST,NDVI,SB01,SB02,SB03,SB04,SB06,SB07,SB08,SB8A,SB11,SB12,SNDVI
-73.971665,40.78876333,,Manhattan,11.815958746652514,9360,106.81367521367521,72.82695596408722,95.32931977856134,22.502363814474133,294.01,216.01,78.0,2021-07-24 15:30:00,27.3,45.4,3.8,202.0,349.0,59,,0.15312864,36.20299028,,811.0,459.0,811.0,459.0,617.0,617.0,432.0,432.0,432.0,432.0,-0.030303030303030304
-73.97192833,40.788875,,Manhattan,17.120584496440753,9307,106.92478779413345,72.87659894657638,95.64147045106739,22.764871504491026,294.01,216.01,78.0,2021-07-24 15:30:00,27.3,45.4,3.8,202.0,349.0,59,,0.15312864,36.20299028,,1208.0,562.0,1208.0,562.0,731.0,731.0,647.0,647.0,647.0,647.0,0.07030603804797353
-73.96708,40.78908,,Manhattan,15.469953694306918,10104,106.2680126682502,70.93049504950496,88.06918588599902,17.138690836494057,192.17,114.16999999999999,78.0,2021-07-24 15:29:00,27.3,45.4,3.8,202.0,349.0,63,,0.15312864,36.06968749999999,,899.0,955.0,899.0,955.0,1052.0,1052.0,1188.0,1188.0,1188.0,1188.0,0.10872608492767148
-73.97255,40.78908167,,Manhattan,4.835646723900968,9247,107.08381096571861,72.79930758411771,96.10109844227199,23.301790858154277,294.01,216.01,78.0,2021-07-24 15:30:00,27.3,45.4,3.8,202.0,349.0,59,,0.15312864,36.88659428000005,,1193.0,1132.0,1193.0,1132.0,1364.0,1364.0,1512.0,1512.0,1512.0,1512.0,0.1437216338880484
-73.96969667,40.78795333,,Manhattan,6.406209674711603,9617,106.37891234272642,72.36180172682825,92.95508976069385,20.593288033865598,493.0,423.0,70.0,2021-07-24 15:29:00,27.3,45.4,3.8,202.0,349.0,59,,0.15312864,34.50081632000001,,1097.0,1506.0,1097.0,1506.0,1642.0,1642.0,1688.0,1688.0,1688.0,1688.0,0.056981840951784594
-73.97021167,40.78418333,,Manhattan,12.143471266372137,9907,106.37125264964166,71.68130869433504,94.00197351469858,22.320664820363525,150.13,87.13,63.0,2021-07-24 15:38:00,27.0,47.2,3.2,142.0,658.0,59,,0.15312864,34.58284880000002,,891.0,1762.0,891.0,1762.0,2092.0,2092.0,2444.0,2444.0,2444.0,2444.0,0.16214931050879697
-73.96975167,40.78470833,,Manhattan,20.436781981837576,9869,106.2515959063735,71.85534718702483,93.4989345744075,21.643587387382663,73.16,13.159999999999997,60.0,2021-07-24 15:38:00,27.0,47.2,3.2,142.0,658.0,59,,0.15312864,33.318181400000014,,889.0,1860.0,889.0,1860.0,2156.0,2156.0,2390.0,2390.0,2390.0,2390.0,0.12470588235294118
-73.96676667,40.78886333,,Manhattan,16.443571245180614,10159,106.09764740624077,70.57185068452674,87.49400546860436,16.922154784077613,540.0,529.0,11.0,2021-07-24 15:29:00,27.3,45.4,3.8,202.0,349.0,63,,0.15312864,35.17758428000002,,555.0,623.0,555.0,623.0,768.0,768.0,788.0,788.0,788.0,788.0,0.11693834160170093
-73.97130333,40.788585,,Manhattan,8.36138613772733,9412,106.71876328091798,72.76881377551021,94.94717699336312,22.17836321785289,150.35,88.35,62.0,2021-07-24 15:30:00,27.3,45.4,3.8,202.0,349.0,59,,0.15312864,36.13804790000006,,811.0,771.0,811.0,771.0,884.0,884.0,783.0,783.0,783.0,783.0,0.007722007722007722
-73.966635,40.78418333,,Manhattan,88.81878280595905,10291,105.78933048294627,70.49936813453874,88.45516587271995,17.955797738181197,25.97,19.97,6.0,2021-07-24 15:40:00,27.0,47.2,3.2,142.0,658.0,59,,0.15312864,29.643809900000008,,454.0,465.0,454.0,465.0,595.0,595.0,518.0,518.0,518.0,518.0,0.05391658189216684
-73.98672167,40.78182667,,Manhattan,50.42183930245271,8332,102.32393182909266,54.473026552925624,102.13820571511957,47.66517916219392,286.0,245.0,41.0,2021-07-24 15:46:00,27.1,47.6,3.2,163.0,565.0,40,,0.15312864,29.80103882000003,,486.0,517.0,486.0,517.0,658.0,658.0,595.0,595.0,595.0,595.0,0.07014388489208633
-73.95032333,40.81512333,,Manhattan,20.32549995898683,12905,100.4097636574971,52.90237282878412,62.67750297047844,9.775130141694325,416.0,406.0,10.0,2021-07-24 15:49:00,26.6,48.3,3.5,184.0,181.0,28,,0.15312864,34.27864502,0.2360000163316726,771.0,848.0,771.0,848.0,1024.0,1024.0,954.0,954.0,954.0,954.0,0.058823529411764705
-73.98230833,40.76774167,,Manhattan,28.43768898233555,12487,102.92167854568751,48.73459411811844,95.09528752241125,46.36069340429281,35.65,11.649999999999999,24.0,2021-07-24 15:55:00,26.8,46.7,3.4,196.0,605.0,59,,0.15312864,35.67319717999999,0.3360000252723694,1296.0,1378.0,1296.0,1378.0,1566.0,1566.0,1688.0,1688.0,1688.0,1688.0,0.10110893672537508
-73.96508333,40.78370667,,Manhattan,84.57206180811373,10550,104.86284360189573,68.48069809352177,86.08320196076164,17.60250386723987,318.52,310.52,8.0,2021-07-24 15:40:00,27.0,47.2,3.2,142.0,658.0,59,,0.15312864,30.713650160000043,,613.0,891.0,613.0,891.0,1080.0,1080.0,1028.0,1028.0,1028.0,1028.0,0.07139134966128191
-73.97968333,40.77094667,,Manhattan,24.346781707769626,11802,103.34714455177088,54.3115671641791,96.51557925915111,42.204012094972015,58.76,45.76,13.0,2021-07-24 15:58:00,27.0,46.1,2.7,209.0,620.0,59,,0.15312864,37.17712598000003,0.3360000252723694,648.0,483.0,648.0,483.0,611.0,611.0,585.0,585.0,585.0,585.0,0.09550561797752809
-73.95570333,40.79593833,,Manhattan,119.9286420993481,12733,101.25822665514804,56.42340642930127,70.00668717611805,13.583280746816786,285.0,274.0,11.0,2021-07-24 15:52:00,26.6,48.3,3.5,184.0,181.0,16,,0.15312864,29.38745840000001,0.4760000705718994,357.0,492.0,357.0,492.0,529.0,529.0,403.0,403.0,403.0,403.0,-0.09944134078212291
-73.97289167,40.78512667,,Manhattan,6.9990744407449865,9675,106.49891472868217,71.34405377456049,96.4839217569607,25.139867982400208,199.46188245,168.46188245,31.0,2021-07-24 15:37:00,26.8,47.6,2.4,209.0,511.0,59,,0.15312864,37.66248482000003,,1302.0,1092.0,1302.0,1092.0,1172.0,1172.0,1302.0,1302.0,1302.0,1302.0,0.08771929824561403
-73.95583833,40.78309833,,Manhattan,10.589864183640087,11703,101.09459113047936,55.20395074397127,73.38141604699334,18.17746530302206,45.05,8.049999999999997,37.0,2021-07-24 15:43:00,27.1,47.6,3.2,163.0,565.0,16,,0.15312864,36.43883366,,833.0,1118.0,833.0,1118.0,1202.0,1202.0,1504.0,1504.0,1504.0,1504.0,0.14721586575133486
-73.96325,40.781915,,Manhattan,107.06951222352623,10646,103.74957730603043,66.43500328978287,83.87409946686812,17.43909617708525,15.03,-28.97,44.0,2021-07-24 15:40:30,27.0,47.2,3.2,142.0,658.0,59,,0.15312864,29.29858988000001,,431.0,375.0,431.0,375.0,499.0,499.0,329.0,329.0,329.0,329.0,-0.06534090909090909
-73.94459,40.777375,,Manhattan,9.218365836460258,10667,98.85816068247867,35.735760532983015,62.58798131176222,26.85222077877921,285.0,274.0,11.0,2021-07-24 15:54:00,26.8,46.7,3.4,196.0,605.0,16,,0.15312864,37.72400918000005,,966.0,789.0,966.0,789.0,921.0,921.0,1050.0,1050.0,1050.0,1050.0,0.14192495921696574
-73.97195,40.78476,,Manhattan,4.883517987230311,9778,106.505624872162,71.49570288520565,95.86680907625947,24.37110619105382,55.75,-8.25,64.0,2021-07-24 15:38:00,27.0,47.2,3.2,142.0,658.0,59,,0.15312864,37.21472419999998,,1170.0,625.0,1170.0,625.0,851.0,851.0,866.0,866.0,866.0,866.0,0.16163648558014757
-73.94579667,40.781725,,Manhattan,17.76879574674499,12104,99.46026107072042,41.971060029766825,62.57225859392921,20.601198564162395,285.0,274.0,11.0,2021-07-24 15:56:00,26.8,46.7,3.4,196.0,605.0,16,,0.15312864,36.27135068000001,0.9040000438690186,1041.0,631.0,1041.0,631.0,718.0,718.0,714.0,714.0,714.0,714.0,0.06171003717472119
-73.98071167,40.78740333,,Manhattan,2.8379368342354057,8295,103.24448462929476,65.81969587255612,102.79963609629377,36.97994022373763,43.31,14.310000000000002,29.0,2021-07-24 15:33:00,26.8,47.6,2.4,209.0,511.0,40,,0.15312864,33.37286972000004,,1009.0,1548.0,1009.0,1548.0,1564.0,1564.0,1482.0,1482.0,1482.0,1482.0,-0.02178217821782178
-73.96015833,40.758905,,Manhattan,9.850079364937628,8325,101.73153153153153,62.26141826923077,85.6503298788101,23.388911609579324,25.97,19.97,6.0,2021-07-24 15:14:00,26.6,50.5,3.1,154.0,584.0,194,,0.22437935,36.57555446000004,0.4360000491142273,1042.0,796.0,1042.0,796.0,883.0,883.0,883.0,883.0,883.0,883.0,0.051816557474687316
-73.98460333,40.78264333,,Manhattan,13.79731372243015,8715,102.54033275960987,56.838176180084986,101.88937847788101,45.051202297796024,53.72,24.72,29.0,2021-07-24 15:42:00,27.0,47.2,3.2,142.0,658.0,40,,0.15312864,31.827924680000024,,744.0,481.0,744.0,481.0,583.0,583.0,565.0,565.0,565.0,565.0,0.08030592734225621
-73.97688333,40.79036333,,Manhattan,10.751842751388274,8220,105.56143552311435,71.42288496652465,101.17334058877175,29.750455622247106,69.63,38.629999999999995,31.0,2021-07-24 15:32:00,27.3,45.4,3.8,202.0,349.0,59,,0.15312864,36.51061207999999,,1170.0,2176.0,1170.0,2176.0,2598.0,2598.0,2700.0,2700.0,2700.0,2700.0,0.10746513535684987
